Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2009T4;2,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2009T3;3,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2009T2;4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2009T1;4,2
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2008T4;5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2008T3;4,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2008T2;4,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2008T1;4,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2007T4;4,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2007T3;4,1
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2007T2;3,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2007T1;4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2006T4;4,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2006T3;4,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2006T2;5,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2006T1;4,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2005T4;2,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2005T3;2,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2005T2;3,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2005T1;2,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2004T4;2,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2004T3;2,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2004T2;3,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2004T1;3,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2003T4;4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2003T3;3,9
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2003T2;4,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2003T1;5,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2002T4;4,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2002T3;4,3
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2002T2;4,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2002T1;4,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2001T4;4,4
