Sectores de actividad CNAE 2009;Componentes del coste;Tipo de dato;Clase de indicador;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2023T3;112,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2023T2;118,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2023T1;112,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2022T4;116,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2022T3;107,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2022T2;111,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2022T1;106,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2021T4;111,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2021T3;103
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2021T2;107,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2021T1;101,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2020T4;107
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2020T3;98,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2020T2;95
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2020T1;99,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2019T4;107,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2019T3;99,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2019T2;103,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2019T1;99,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2018T4;104,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2018T3;97,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2018T2;101,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2018T1;97,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2017T4;103,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2017T3;95,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2017T2;100,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2017T1;96,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2016T4;103
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2016T3;95
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2016T2;100,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2016T1;96,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2015T4;103,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2015T3;95,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2015T2;100,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2015T1;96,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2014T4;102,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2014T3;95,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2014T2;100,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2014T1;96,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2013T4;103,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2013T3;95,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2013T2;100,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2013T1;96,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2012T4;101
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2012T3;95,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2012T2;100,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2012T1;97,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2011T4;104,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2011T3;95,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2011T2;101,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2011T1;96,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2010T4;102,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2010T3;94,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2010T2;100,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2010T1;95,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2009T4;103
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2009T3;94,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2009T2;99,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste total por trabajador;Índice;Principales series de ETCL;2009T1;94,9
