Comunidades y Ciudades Autónomas;Periodo;Total
05 Canarias;2017T4;13,98
05 Canarias;2017T3;15,03
05 Canarias;2017T2;16,12
05 Canarias;2017T1;15,15
05 Canarias;2016T4;13,96
05 Canarias;2016T3;13,02
05 Canarias;2016T2;15,37
05 Canarias;2016T1;14,23
05 Canarias;2015T4;14,22
05 Canarias;2015T3;12,73
05 Canarias;2015T2;13,02
05 Canarias;2015T1;14,91
05 Canarias;2014T4;16,15
05 Canarias;2014T3;13,12
05 Canarias;2014T2;15,6
05 Canarias;2014T1;17,73
05 Canarias;2013T4;15,81
05 Canarias;2013T3;14,23
05 Canarias;2013T2;13,92
05 Canarias;2013T1;15,37
05 Canarias;2012T4;16,95
05 Canarias;2012T3;16,48
05 Canarias;2012T2;15,57
05 Canarias;2012T1;15,68
05 Canarias;2011T4;13,74
05 Canarias;2011T3;17,04
05 Canarias;2011T2;15,6
05 Canarias;2011T1;16,19
05 Canarias;2010T4;19,64
05 Canarias;2010T3;13,63
05 Canarias;2010T2;14,85
05 Canarias;2010T1;15,97
05 Canarias;2009T4;15,3
05 Canarias;2009T3;15,16
05 Canarias;2009T2;17,09
05 Canarias;2009T1;16,3
05 Canarias;2008T4;14,26
05 Canarias;2008T3;17,12
05 Canarias;2008T2;16,69
05 Canarias;2008T1;17,47
06 Cantabria;2024T4;17,33
06 Cantabria;2024T3;18,36
06 Cantabria;2024T2;19,81
06 Cantabria;2024T1;18,84
06 Cantabria;2023T4;18,59
06 Cantabria;2023T3;16,97
06 Cantabria;2023T2;19,18
06 Cantabria;2023T1;17,43
06 Cantabria;2022T4;17,68
06 Cantabria;2022T3;15,8
06 Cantabria;2022T2;18,65
06 Cantabria;2022T1;17,3
06 Cantabria;2021T4;18,56
06 Cantabria;2021T3;17,76
06 Cantabria;2021T2;21,93
06 Cantabria;2021T1;17,42
06 Cantabria;2020T4;18,79
06 Cantabria;2020T3;16,8
06 Cantabria;2020T2;17,44
06 Cantabria;2020T1;17,58
06 Cantabria;2019T4;16,67
06 Cantabria;2019T3;14,14
06 Cantabria;2019T2;14,81
06 Cantabria;2019T1;14,7
06 Cantabria;2018T4;16,87
06 Cantabria;2018T3;14,61
06 Cantabria;2018T2;15,53
06 Cantabria;2018T1;14,84
06 Cantabria;2017T4;18,97
06 Cantabria;2017T3;18,17
06 Cantabria;2017T2;18,23
06 Cantabria;2017T1;14,32
06 Cantabria;2016T4;16,37
06 Cantabria;2016T3;17,79
06 Cantabria;2016T2;16,42
06 Cantabria;2016T1;15,53
06 Cantabria;2015T4;16,31
06 Cantabria;2015T3;15,95
06 Cantabria;2015T2;17,6
06 Cantabria;2015T1;16,16
06 Cantabria;2014T4;17,27
06 Cantabria;2014T3;17,79
06 Cantabria;2014T2;16,43
06 Cantabria;2014T1;17,1
06 Cantabria;2013T4;18,34
06 Cantabria;2013T3;17,18
06 Cantabria;2013T2;17,11
06 Cantabria;2013T1;17,5
06 Cantabria;2012T4;17,31
06 Cantabria;2012T3;16,94
06 Cantabria;2012T2;16,66
06 Cantabria;2012T1;15,92
06 Cantabria;2011T4;16,91
06 Cantabria;2011T3;16,18
06 Cantabria;2011T2;16,48
06 Cantabria;2011T1;16,74
06 Cantabria;2010T4;16,96
06 Cantabria;2010T3;15,88
06 Cantabria;2010T2;16,79
06 Cantabria;2010T1;17,66
06 Cantabria;2009T4;15,06
06 Cantabria;2009T3;15,77
06 Cantabria;2009T2;16,37
06 Cantabria;2009T1;17,72
06 Cantabria;2008T4;15,87
06 Cantabria;2008T3;15,13
06 Cantabria;2008T2;16,48
06 Cantabria;2008T1;15,42
07 Castilla y León;2024T4;21,54
07 Castilla y León;2024T3;20,81
07 Castilla y León;2024T2;23,75
07 Castilla y León;2024T1;22,36
07 Castilla y León;2023T4;19,68
07 Castilla y León;2023T3;20,65
07 Castilla y León;2023T2;22,84
07 Castilla y León;2023T1;20,63
07 Castilla y León;2022T4;19,05
07 Castilla y León;2022T3;18,12
07 Castilla y León;2022T2;19,49
07 Castilla y León;2022T1;19,8
07 Castilla y León;2021T4;17,77
07 Castilla y León;2021T3;17,16
07 Castilla y León;2021T2;17,85
07 Castilla y León;2021T1;18,91
07 Castilla y León;2020T4;18,37
07 Castilla y León;2020T3;16,38
07 Castilla y León;2020T2;19,45
07 Castilla y León;2020T1;16,3
07 Castilla y León;2019T4;17,35
07 Castilla y León;2019T3;16,21
07 Castilla y León;2019T2;16,77
07 Castilla y León;2019T1;17,3
07 Castilla y León;2018T4;16,29
07 Castilla y León;2018T3;15,26
07 Castilla y León;2018T2;15,66
07 Castilla y León;2018T1;17,38
07 Castilla y León;2017T4;16,45
07 Castilla y León;2017T3;15,94
07 Castilla y León;2017T2;15,91
07 Castilla y León;2017T1;17,39
07 Castilla y León;2016T4;16,36
07 Castilla y León;2016T3;16,54
07 Castilla y León;2016T2;16,44
07 Castilla y León;2016T1;16,67
